sheet,category,question,answer,amounts
faq,料金・費用,初診料はいくらですか？,"自費診療の初診料は3,300円（税込）です。再診料は880円（税込）となります。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。",880 3300
faq,料金・費用,トレチノインやしみ取りクリームの料金を教えてください。,"トレチノイン（0.05%・0.025%）は11,500円、トレチノインゲル（0.1%・0.4%）は各5,800円、しみ取りクリームは1個4,950円・3個セット10,890円・10個セット32,890円（税込）です。詳しくはこちらからご確認いただけます → https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk",4950 5800 10890 11500 32890
faq,料金・費用,ケミカルピーリングの料金はいくらですか？,"ケミカルピーリングは全顔6,900円、学割4,600円です。背中やひざなどの部位別料金もあります。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご覧ください。",4600 6900
faq,料金・費用,コラーゲンピールの料金を教えてください。,"コラーゲンピールは初回顔11,000円、首15,400円。2回目以降は顔15,400円、首17,600円です。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。",11000 15400 17600
faq,料金・費用,プラセンタ注射はいくらですか？,"プラセンタ注射は1本1,200円、2本1,900円（税込）です。予約不要でご利用いただけます。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。",1200 1900
faq,料金・費用,美容注射・点滴の料金を教えてください。,"AdeBクリニックの美容注射・点滴は以下の料金でご案内しております。にんにく注射：2,500円、疲労回復注射：3,500円、疲労回復点滴：5,800円、美肌コンドロイチン注射：4,800円、白玉注射：4,800円、白玉点滴：10,500円、脂肪燃焼ダイレクト注射：5,400円、育毛促進注射：3,300円です。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。",2500 3300 3500 4800 5400 5800 10500
faq,料金・費用,ダーマペン4の料金を教えてください。,"ダーマペン4は初回両ほほ11,000円、全顔16,500円（パックなし）です。2回目以降の料金設定もございます。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。",11000 16500
faq,料金・費用,ヴェルヴェットスキンの料金はいくらですか？,"ヴェルヴェットスキンは初回全顔22,000円、両ほほ16,500円です。5回セット割もございます。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。",16500 22000
faq,料金・費用,ハイドラジェントルの料金を教えてください。,"AdeBクリニックのハイドラジェントルは、照射範囲や回数、会員制度によって料金が異なります。【全顔】初回（TEA付）11,800円、1回（TEAなし）14,800円、1回（TEA付）16,500円。【全顔セット】3回セット（TEA付）46,500円、5回セット（TEA付）68,000円。【鼻のみ（TEA付）】5,500円（全顔の施術経験がある方が対象）。※TEAは毛穴の皮脂を分解する薬液です。【ハイドラジェントル会員（月額）】全顔月1回で11,800円。入会金16,500円、最低契約期間3ヶ月、毎月の利用料は秋田銀行指定口座から前払いにて引き落とし。月の未使用分は翌月へ繰り越し不可となります。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。",5500 11800 14800 16500 46500 68000
faq,料金・費用,サーマクールの料金はいくらですか？,"AdeBクリニックのサーマクールは、照射範囲と回数により料金が異なります。【サーマクール（顔）】1回目179,500円、2回目168,910円、3回目159,485円、4回目141,535円、5回目以降123,267円。【サーマクール（顔＋額）】1回目209,500円、2回目197,140円、3回目186,140円、4回目165,190円、5回目以降143,869円。【サーマクール（顔＋額＋首）】1回目229,500円、2回目215,960円、3回目203,910円、4回目180,960円、5回目以降157,604円です。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。",123267 141535 143869 157604 159485 165190 168910 179500 180960 186140 197140 203910 209500 215960 229500
faq,料金・費用,フォトの料金を教えてください。/光治療はいくらですか？,"AdeBクリニックのフォト治療（光治療）は、照射範囲と回数によって料金が異なります。【全顔】1回20,000円、3回セット54,000円、5回セット80,000円。【赤ら顔治療（全顔）】10回セット198,000円。【赤ら顔治療（両ほほ）】10回セット99,000円。【赤ら顔治療（片ほほ相当範囲）】10回セット59,000円です。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。",20000 54000 59000 80000 99000 198000
faq,料金・費用,シミ取りレーザーの料金を教えてください。,"シミ取りレーザーは直径5mmで5,500円、10mmで11,000円、15mmで16,500円です。シミ取り放題プランもございます。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。",5500 11000 16500
faq,料金・費用,そばかす治療の料金を教えてください。,"AdeBクリニックのそばかす治療（ピコレーザー）は、ピコフラクショナルとピコスポットの2種類があります。【そばかすシャワー（ピコフラクショナル）】両ほほ：19,800円、全顔（瞼除く）：24,800円。【ピコスポット取り放題】200ショット：60,500円、300ショット：82,500円です。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。",19800 24800 60500 82500
faq,料金・費用,あざレーザーの料金を教えてください。/ADMはいくらですか？,"ADM治療は両ほほ13,200円、両こめかみ8,800円です。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。",8800 13200
faq,料金・費用,イボレーザー治療はいくらですか？／炭酸ガスレーザーの料金を教えてください/イボ取りの料金はいくらですか／イボを取るといくらかかりますか／イボ除去の料金を教えてください/炭酸ガスレーザーはいくら？/イボレーザーはいくら？,"イボレーザー（炭酸ガスレーザー）の料金（税込）は、直径2mm未満3個まで7,000円、直径5mm未満1個7,000円、直径10mm未満1個13,500円、直径15mm未満1個19,800円となります。16mm以上は長径mm×1,300円です。目元のイボは2mm未満でも1個あたり7,000円となります。別途初診料3,300円・再診料880円および麻酔代がかかります。詳しくはこちらからご確認いただけます → https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk",880 1300 3300 7000 13500 19800
faq,料金・費用,女性の医療脱毛の料金を教えてください。,"女性の全身脱毛は1回49,800円、5回パック209,780円です。顔脱毛は1回19,800円、5回セット91,680円。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。",19800 49800 91680 209780
faq,料金・費用,男性の医療脱毛の料金はいくらですか？,"男性の全身脱毛は1回52,000円、5回パック219,800円。ひげ脱毛は2か所5回24,800円からです。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。",24800 52000 219800
faq,支払い・保険,脱毛の分割払いはできますか？,"はい、全身脱毛のみ医療ローンによる分割払いが可能です。女性は60回払いで月々4,400円からご利用いただけます。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。",4400
faq,料金・費用,HARG療法の料金を教えてください。/ハーグ療法の料金を教えてください。,"HARG療法は1回90,200円、6回セット349,200円です。笑気麻酔は別途3,300円となります。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。",3300 90200 349200
faq,料金・費用,エキシマライト治療はいくらですか？,"エキシマライトは保険診療で3割負担の場合1,020円前後です。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。",1020
faq,料金・費用,育毛注射やLED治療の料金を教えてください。,"育毛促進注射は1回3,300円、頭皮LED治療は初回1,500円、2回目以降3,300円です。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。",1500 3300
faq,料金・費用,子宮頸がんワクチンの料金を教えてください。,"公費対象の方は無料です。自費接種は1回26,400円（税込）です。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。",26400
faq,料金・費用,帯状疱疹ワクチンの料金はいくらですか？,"帯状疱疹ワクチンは1回22,200円（税込）です。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。",22200
faq,料金・費用,ピアスの料金と条件を教えてください。/ピアスはいくらですか？/ピアスの料金/ピアス穴あけの料金はいくらですか？,"ピアス穴あけは両耳たぶ9,800円です。16歳以上が対象で（未成年は同意書に保護者の署名必要）、ピアスを開けるのが初めての方です。両耳たぶにひとつずつまでとさせていただいております。また耳たぶ以外の部位への施術は行っておりません。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。）",9800
faq,料金・費用,レーザートーニング会員コースの料金を教えてください。,"トーニング会員は月1回全顔トーニングで月額10,800円。入会金16,500円が必要です。
※ご入会時には、入会金16,500円が別途必要となります。（全顔トーニング5回の施術で免除あり）
※最低契約期間は3か月です。
※利用料は、毎月秋田銀行指定口座より前払いにてお支払いいただきます。
※月の最大回数以下の来店でも、翌月への回数の繰り越しはございません。
詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。",10800 16500
faq,アクセス・駐車場,駐車料金はいくらですか？,なかいち駐車場は30分まで無料、以降1時間ごとに100円です。夜間（16時〜翌10時）は最大500円となります。詳しくは料金案内（https://www.adeb.com/parking/?utm_source=ai&utm_medium=sugudesk）をご確認ください。,100 500
faq,アクセス・駐車場,駐車券をなくした場合はどうすればよいですか？,"駐車券を紛失した場合、1回につき1,100円の紛失料金がかかります。支払い後に駐車券が見つかった場合は、にぎわい交流館AU1階総合案内に駐車券と領収書を持参すると差額が返金されます。",1100
faq,料金・支払い,診察代は別途かかりますか？,"自由診療の場合、初診料3,300円、再診料880円となります。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。",880 3300
faq,料金・費用,エキシマライトは保険診療の対象ですか？,"はい。エキシマライト治療は保険適用です。3割負担の場合、1回あたり約1,020円で受けられます（診察料別途）。",1020
faq,料金・ケミカルピーリング,ケミカルピーリングは保険適用ですか／ケミカルピーリングは保険が使えますか／ケミカルピーリングは自費ですか,"ケミカルピーリングは自由診療となり、保険は適用されません。料金（税込）は全顔6,900円、全顔（学割）4,600円などとなります。詳しくはこちらからご確認いただけます → https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk",4600 6900
faq,料金・費用,粉瘤手術は保険適用になりますか？,"はい。粉瘤手術は保険診療の対象です。露出部で直径2cm未満のものは3割負担で5,000〜6,000円程度、1割負担で2,000円程度です。非露出部では1割負担で1,500円程度となります。",1500 2000 6000
faq,料金・費用,脇ボトックスの費用はいくらですか？,"脇ボトックスは保険適用の治療です。自己負担3割の場合、およそ20,000円程度となります。",20000
faq,料金・費用,炎症性粉瘤手術は保険適用になりますか？,"炎症性粉瘤の手術は保険診療の対象です。症状や部位により費用は異なりますが、3割負担で5,000〜6,000円程度が目安です。",6000
faq,料金・費用,ほくろ除去の料金はいくらですか？／費用はいくらかかりますか？,"AdeBクリニックのほくろ除去は、レーザー治療と保険診療の切除治療があり、方法によって料金が異なります。

【ほくろレーザー（自費）】
1mmあたり 3,800円
※診察代、薬代は別途必要です。

【ほくろ切除（保険診療）】
3割負担で 1個（5mmまで）約4,980円
※病理診断料、麻酔代、その他加算料は別途かかります。

どちらの治療が適しているかは、ほくろの大きさや状態によって異なるため、まずは美容相談で適切な方法をご案内しています。",3800 4980
faq,料金・費用,シミ取りレーザーの料金はいくらですか？／費用を教えてください。,"フラル式シミレーザー治療は18,800円（5個まで）。1個あたり約3,760円です。料金は範囲や個数によって異なります。詳しくはカウンセリング時にご説明します。",3760 18800
faq,料金・費用,レーザートーニングの料金はいくらですか？,"AdeBクリニックのレーザートーニングは、照射範囲や回数によって料金が異なります。【両ほほのみ】初回3,300円、2回目以降5,500円。【全顔】1回15,080円、5回セット67,500円、10回セット119,000円です。また、初めてトーニングを受けた日のみ購入できる両ほほ3回チケット（13,000円）もございます。なお、全顔レーザートーニング5回終了後は、医師の診察を経てピコトーニングへの移行が可能です。ピコトーニングをご希望の方は「トーニング経過診察」メニューでご予約ください（別途診察料あり）。",3300 5500 13000 15080 67500 119000
faq,料金・費用,アートメイクの料金はいくらですか？／アートメイクの費用を教えてください。,"各部位（眉・アイライン・唇・ヘアライン）は1回59,000円（税込）です。ヘアラインは女性のみ対応し、範囲によって料金が変わります。",59000
faq,料金・費用,LED治療の料金を教えてください。,"【青色LED（ニキビ治療）】初回1,100円／2回目以降2,800円（学割2,300円）／10回チケット20,000円。【赤色LED（育毛治療）】初回1,500円／2回目以降3,300円。",1100 1500 2300 2800 3300 20000
faq,料金・費用,赤ら顔治療の料金を教えてください。,"赤ら顔治療（フォト治療）の料金は【全顔10回セット】198,000円、【両ほほ10回セット】99,000円、【片ほほ相当10回セット】59,000円です。初診料は別途となります。",59000 99000 198000
faq,料金・費用,イボレーザー治療の料金を教えてください。/炭酸ガスレーザーはいくらですか？,"AdeBクリニックのイボレーザー（炭酸ガスレーザー）は、大きさにより料金が異なります。【2mm未満】3個で6,500円、【5mm未満】6,500円、【10mm未満】13,000円、【15mm未満】19,500円です。20mm以上の場合は長径のmmサイズ×1,300円で計算します。目元のイボは2mm未満でも1個あたり6,500円となります。",1300 6500 13000 19500
faq,料金・費用,医療脱毛の料金を教えてください。,"部位別料金は、SSパーツ3,980円、Sパーツ7,480円、Lパーツ14,800円です。全身脱毛5回パック（顔・襟足・VIO除く）は209,780円（2回目購入は10％OFF）です。全身脱毛の場合、医療ローンも利用可能です。",3980 7480 14800 209780
faq,料金・費用,メンズ医療脱毛の料金を教えてください。/男性医療脱毛の料金を教えてください。/男性脱毛の料金を教えてください。,"ヒゲ脱毛4部位（あご・あご下・鼻下・ほほ）は1回19,800円、5回セット79,800円です。全身脱毛（顔・襟足・VIO除く）は5回289,800円（月々4,500円～）です。",4500 19800 79800 289800
faq,料金・費用,シミ取りレーザー3・5・10の料金はいくらですか？,"シミ取りレーザー3は3個まで、5は5個まで、10は10個までのシミが大きさ問わず取り放題です。【初回】シミ取りレーザー3（初回限定）：7,800円、レーザー5：18,800円、レーザー10：29,800円。【2回目以降】レーザー5：23,800円、レーザー10：34,800円です。麻酔代・軟膏代・内服薬は別料金です。",7800 18800 23800 29800 34800
faq,料金・スマートサイドドット,スマートサイドドットレーザーの料金はいくらですか／スマサイの料金はいくらですか／スマートサイドドットはいくらですか,"スマートサイドドットレーザーは自由診療です。部位ごとの料金（税込）は以下のとおりです。【1回 / 5回セット / 5回セット終了後1回】額24,800円/99,200円/18,600円、眉間14,000円/56,000円/10,500円、鼻根部まで10,800円/43,200円/8,100円、片ほほ17,000円/68,000円/12,750円、両ほほ29,000円/116,000円/21,750円、ほほ下21,000円/84,000円/15,750円、あご10,800円/43,200円/8,100円、あご下21,000円/84,000円/15,750円、マドンナリフト上19,800円/79,200円/14,850円、マドンナリフト下17,800円/71,200円/13,350円、Lマドンナ24,500円/98,000円/18,375円、鼻下9,800円/39,200円/7,350円、眉間横7,800円/31,200円/5,850円、ほうれい線集中10,800円/43,200円/8,100円、マリオネットライン集中9,800円/39,200円/7,350円、目じり集中9,800円/39,200円/7,350円、首36,300円/145,200円/27,225円、目元を除く顔全体69,000円/276,000円/51,750円、目元を含む顔全体88,000円/352,000円/66,000円、目元を除く鎖骨上顔全体99,800円/399,200円/74,850円、目元を含む鎖骨上顔全体109,800円/439,200円/82,350円。なお、マドンナリフト上・マドンナリフト下・Lマドンナは施術時に金属製コンタクトを装着します（料金別途）。詳しくはこちらからご確認いただけます → https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk",5850 7350 7800 8100 9800 10500 10800 12750 13350 14000 14850 15750 17000 17800 18375 18600 19800 21000 21750 24500 24800 27225 29000 31200 36300 39200 43200 51750 56000 66000 68000 69000 71200 74850 79200 82350 84000 88000 98000 99200 99800 109800 116000 145200 276000 352000 399200 439200
