施術,先に受けた施術,次に受ける施術,部位条件,必要な間隔,同日可否,実施順,条件・例外,医師確認,基準版,先_別名,次_別名
そばかすシャワー（532レーザー）→ハイドラジェントル,そばかすシャワー（532レーザー）,ハイドラジェントル,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,そばかすシャワー・そばかす・532・そばかす治療,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
そばかすスポット照射→ハイドラジェントル,そばかすスポット照射,ハイドラジェントル,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,そばかすスポット・そばかす・スポット照射・シミ・そばかす治療,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
フォトフェイシャル（光治療）→ハイドラジェントル,フォトフェイシャル（光治療）,ハイドラジェントル,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,フォト・フォトフェイシャル・光治療・IPL・ステラM22,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
赤み治療（血管腫レーザー）→ハイドラジェントル,赤み治療（血管腫レーザー）,ハイドラジェントル,同部位,治療完了後 2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,赤み治療・血管腫レーザー・赤ら顔・毛細血管拡張,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
ボトックス注射（通常）→ハイドラジェントル,ボトックス注射（通常）,ハイドラジェントル,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ボトックス・ボトックス注射・ボツリヌストキシン・エラボトックス・小顔・シワ,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
マイクロボトックス→ハイドラジェントル,マイクロボトックス,ハイドラジェントル,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,マイクロボトックス・ボトックス・マイクロ・毛穴・テカリ,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
テノールNEO（テノールネオ）→ハイドラジェントル,テノールNEO（テノールネオ）,ハイドラジェントル,同部位,翌日,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,テノールネオ・テノールNEO・テノール・たるみ・引き締め,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
フラルスキン（トレチノイン）→ハイドラジェントル,フラルスキン（トレチノイン）,ハイドラジェントル,同部位,1週間,同部位は不可／別部位は可,,トレチノインのみの場合／別部位の場合は同日可,不要,20250309_秋田ver,フラルスキン・トレチ・トレチノイン・ハイドロキノン,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
部分シミ治療（トレチノイン）→ハイドラジェントル,部分シミ治療（トレチノイン）,ハイドラジェントル,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,部分シミ・トレチ・トレチノイン・シミ,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
mikoメソッド（首いぼ治療）→ハイドラジェントル,mikoメソッド（首いぼ治療）,ハイドラジェントル,不明,-（原表記）,不明,,原表は「-」ですが意味が明示されていないため、可否・間隔を断定できません,必要,20250309_秋田ver,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
ほくろ切除・ほくろ除去→ハイドラジェントル,ほくろ切除・ほくろ除去,ハイドラジェントル,同部位,上皮化後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ほくろ切除・ほくろ除去・ほくろ・ほくろ取り,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
ボライト（スキンブースター）→ハイドラジェントル,ボライト（スキンブースター）,ハイドラジェントル,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ボライト・スキンブースター・ヒアルロン酸・ジュビダーム,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
稗粒腫（はいりゅうしゅ）除去→ハイドラジェントル,稗粒腫（はいりゅうしゅ）除去,ハイドラジェントル,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,稗粒腫・はいりゅうしゅ・ぶつぶつ・ブツブツ,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
ヴェルヴェットスキン→ハイドラジェントル,ヴェルヴェットスキン,ハイドラジェントル,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ヴェルヴェットスキン・ヴェルヴェット・ベルベットスキン・ダーマペン・コラーゲンピール,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
ダーマペン4→ハイドラジェントル,ダーマペン4,ハイドラジェントル,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ダーマペン・ダーマペン4・毛穴・ニキビ跡,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
HARG療法→ハイドラジェントル,HARG療法,ハイドラジェントル,同部位,同日,可,,,不要,20250309_秋田ver,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
スカルプ・プラセンタエッセンス→ハイドラジェントル,スカルプ・プラセンタエッセンス,ハイドラジェントル,同部位,同日,可,,,不要,20250309_秋田ver,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
コラーゲンピール（マッサージピール）→ハイドラジェントル,コラーゲンピール（マッサージピール）,ハイドラジェントル,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,コラーゲンピール・マッサージピール・PRX・ハリ,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
サーマクール→ハイドラジェントル,サーマクール,ハイドラジェントル,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,サーマクール・サーマ・たるみ・引き締め・リフトアップ,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
ミラドライ→ハイドラジェントル,ミラドライ,ハイドラジェントル,不明,-（原表記）,不明,,原表は「-」ですが意味が明示されていないため、可否・間隔を断定できません,必要,20250309_秋田ver,ミラドライ・ワキガ・腋臭・多汗症・わき汗,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
医療レーザー脱毛→ハイドラジェントル,医療レーザー脱毛,ハイドラジェントル,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,脱毛・医療脱毛・レーザー脱毛・全身脱毛・顔脱毛・VIO脱毛・ひげ脱毛・メンズ脱毛,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
タトゥー除去（刺青除去）→ハイドラジェントル,タトゥー除去（刺青除去）,ハイドラジェントル,同部位,3か月,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,タトゥー・タトゥー除去・刺青・いれずみ・入れ墨,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
アートメイク→ハイドラジェントル,アートメイク,ハイドラジェントル,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,アートメイク・眉アートメイク・リップアートメイク・タトゥーメイク,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
ハイドラジェントル→ケミカルピーリング,ハイドラジェントル,ケミカルピーリング,面の治療との併用,初回：同日不可／2回目以降：同日可,条件付き,ハイドラを先に実施,初回は同日不可。問題がなかった場合は2回目以降で同日可,不要,20250309_秋田ver,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄,ピーリング・ケミカルピーリング・サリチル酸ピーリング
ケミカルピーリング→ケミカルピーリング,ケミカルピーリング,ケミカルピーリング,顔／背中／その他,顔：4週間（医師の指示により2週間の場合あり）／背中：3週間／その他：2週間,同部位は不可／別部位は可,,ピーリングの部位により間隔が異なります／別部位の場合は同日可,必要,20250309_秋田ver,ピーリング・ケミカルピーリング・サリチル酸ピーリング,ピーリング・ケミカルピーリング・サリチル酸ピーリング
スマートサイドドットレーザー（2回目以降）→ケミカルピーリング,スマートサイドドットレーザー（2回目以降）,ケミカルピーリング,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,スマサイ・スマートサイドドット・スマートサイドドットレーザー,ピーリング・ケミカルピーリング・サリチル酸ピーリング
スマートサイドドットレーザー（初回）→ケミカルピーリング,スマートサイドドットレーザー（初回）,ケミカルピーリング,同部位,3週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,スマサイ・スマサイ初回・スマートサイドドット・スマートサイドドットレーザー,ピーリング・ケミカルピーリング・サリチル酸ピーリング
イボレーザー（炭酸ガス／CO2レーザー）→ケミカルピーリング,イボレーザー（炭酸ガス／CO2レーザー）,ケミカルピーリング,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,CO2・CO2レーザー・炭酸ガスレーザー・イボレーザー・いぼレーザー・イボ取り,ピーリング・ケミカルピーリング・サリチル酸ピーリング
シミ取りレーザー→ケミカルピーリング,シミ取りレーザー,ケミカルピーリング,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,シミレーザー・シミ取り・シミ取りレーザー・シミ治療,ピーリング・ケミカルピーリング・サリチル酸ピーリング
ADM治療（ピコレーザー）→ケミカルピーリング,ADM治療（ピコレーザー）,ケミカルピーリング,同部位,治療完了後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ADM・ADMレーザー・ピコレーザー・ピコ・あざ治療・太田母斑,ピーリング・ケミカルピーリング・サリチル酸ピーリング
ADM治療（ナノレーザー・メドライトC6）→ケミカルピーリング,ADM治療（ナノレーザー・メドライトC6）,ケミカルピーリング,同部位,治療完了後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ADM・ADMレーザー・ナノレーザー・メドライトC6・C6・あざ治療・太田母斑,ピーリング・ケミカルピーリング・サリチル酸ピーリング
レーザートーニング→ケミカルピーリング,レーザートーニング,ケミカルピーリング,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ,ピーリング・ケミカルピーリング・サリチル酸ピーリング
ピコトーニング→ケミカルピーリング,ピコトーニング,ケミカルピーリング,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピコトーニング・ピコ・トーニング・肝斑・くすみ,ピーリング・ケミカルピーリング・サリチル酸ピーリング
ピコフラクショナル（1064nm）→ケミカルピーリング,ピコフラクショナル（1064nm）,ケミカルピーリング,同部位,3週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡,ピーリング・ケミカルピーリング・サリチル酸ピーリング
そばかすシャワー（532レーザー）→ケミカルピーリング,そばかすシャワー（532レーザー）,ケミカルピーリング,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,そばかすシャワー・そばかす・532・そばかす治療,ピーリング・ケミカルピーリング・サリチル酸ピーリング
そばかすスポット照射→ケミカルピーリング,そばかすスポット照射,ケミカルピーリング,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,そばかすスポット・そばかす・スポット照射・シミ・そばかす治療,ピーリング・ケミカルピーリング・サリチル酸ピーリング
フォトフェイシャル（光治療）→ケミカルピーリング,フォトフェイシャル（光治療）,ケミカルピーリング,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,フォト・フォトフェイシャル・光治療・IPL・ステラM22,ピーリング・ケミカルピーリング・サリチル酸ピーリング
赤み治療（血管腫レーザー）→ケミカルピーリング,赤み治療（血管腫レーザー）,ケミカルピーリング,同部位,治療完了後 2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,赤み治療・血管腫レーザー・赤ら顔・毛細血管拡張,ピーリング・ケミカルピーリング・サリチル酸ピーリング
ボトックス注射（通常）→ケミカルピーリング,ボトックス注射（通常）,ケミカルピーリング,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ボトックス・ボトックス注射・ボツリヌストキシン・エラボトックス・小顔・シワ,ピーリング・ケミカルピーリング・サリチル酸ピーリング
マイクロボトックス→ケミカルピーリング,マイクロボトックス,ケミカルピーリング,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,マイクロボトックス・ボトックス・マイクロ・毛穴・テカリ,ピーリング・ケミカルピーリング・サリチル酸ピーリング
テノールNEO（テノールネオ）→ケミカルピーリング,テノールNEO（テノールネオ）,ケミカルピーリング,同部位,翌日,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,テノールネオ・テノールNEO・テノール・たるみ・引き締め,ピーリング・ケミカルピーリング・サリチル酸ピーリング
フラルスキン（トレチノイン）→ケミカルピーリング,フラルスキン（トレチノイン）,ケミカルピーリング,同部位,1週間,同部位は不可／別部位は可,,トレチノインのみの場合／別部位の場合は同日可,不要,20250309_秋田ver,フラルスキン・トレチ・トレチノイン・ハイドロキノン,ピーリング・ケミカルピーリング・サリチル酸ピーリング
部分シミ治療（トレチノイン）→ケミカルピーリング,部分シミ治療（トレチノイン）,ケミカルピーリング,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,部分シミ・トレチ・トレチノイン・シミ,ピーリング・ケミカルピーリング・サリチル酸ピーリング
mikoメソッド（首いぼ治療）→ケミカルピーリング,mikoメソッド（首いぼ治療）,ケミカルピーリング,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ,ピーリング・ケミカルピーリング・サリチル酸ピーリング
ほくろ切除・ほくろ除去→ケミカルピーリング,ほくろ切除・ほくろ除去,ケミカルピーリング,同部位,上皮化後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ほくろ切除・ほくろ除去・ほくろ・ほくろ取り,ピーリング・ケミカルピーリング・サリチル酸ピーリング
ボライト（スキンブースター）→ケミカルピーリング,ボライト（スキンブースター）,ケミカルピーリング,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ボライト・スキンブースター・ヒアルロン酸・ジュビダーム,ピーリング・ケミカルピーリング・サリチル酸ピーリング
稗粒腫（はいりゅうしゅ）除去→ケミカルピーリング,稗粒腫（はいりゅうしゅ）除去,ケミカルピーリング,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,稗粒腫・はいりゅうしゅ・ぶつぶつ・ブツブツ,ピーリング・ケミカルピーリング・サリチル酸ピーリング
ヴェルヴェットスキン→ケミカルピーリング,ヴェルヴェットスキン,ケミカルピーリング,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ヴェルヴェットスキン・ヴェルヴェット・ベルベットスキン・ダーマペン・コラーゲンピール,ピーリング・ケミカルピーリング・サリチル酸ピーリング
ダーマペン4→ケミカルピーリング,ダーマペン4,ケミカルピーリング,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ダーマペン・ダーマペン4・毛穴・ニキビ跡,ピーリング・ケミカルピーリング・サリチル酸ピーリング
HARG療法→ケミカルピーリング,HARG療法,ケミカルピーリング,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛,ピーリング・ケミカルピーリング・サリチル酸ピーリング
スカルプ・プラセンタエッセンス→ケミカルピーリング,スカルプ・プラセンタエッセンス,ケミカルピーリング,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛,ピーリング・ケミカルピーリング・サリチル酸ピーリング
コラーゲンピール（マッサージピール）→ケミカルピーリング,コラーゲンピール（マッサージピール）,ケミカルピーリング,同部位,3週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,コラーゲンピール・マッサージピール・PRX・ハリ,ピーリング・ケミカルピーリング・サリチル酸ピーリング
サーマクール→ケミカルピーリング,サーマクール,ケミカルピーリング,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,サーマクール・サーマ・たるみ・引き締め・リフトアップ,ピーリング・ケミカルピーリング・サリチル酸ピーリング
ミラドライ→ケミカルピーリング,ミラドライ,ケミカルピーリング,不明,-（原表記）,不明,,原表は「-」ですが意味が明示されていないため、可否・間隔を断定できません,必要,20250309_秋田ver,ミラドライ・ワキガ・腋臭・多汗症・わき汗,ピーリング・ケミカルピーリング・サリチル酸ピーリング
医療レーザー脱毛→ケミカルピーリング,医療レーザー脱毛,ケミカルピーリング,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,脱毛・医療脱毛・レーザー脱毛・全身脱毛・顔脱毛・VIO脱毛・ひげ脱毛・メンズ脱毛,ピーリング・ケミカルピーリング・サリチル酸ピーリング
タトゥー除去（刺青除去）→ケミカルピーリング,タトゥー除去（刺青除去）,ケミカルピーリング,同部位,3か月,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,タトゥー・タトゥー除去・刺青・いれずみ・入れ墨,ピーリング・ケミカルピーリング・サリチル酸ピーリング
アートメイク→ケミカルピーリング,アートメイク,ケミカルピーリング,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,アートメイク・眉アートメイク・リップアートメイク・タトゥーメイク,ピーリング・ケミカルピーリング・サリチル酸ピーリング
ハイドラジェントル→スマートサイドドットレーザー（2回目以降）,ハイドラジェントル,スマートサイドドットレーザー（2回目以降）,面の治療との併用,初回：同日不可／2回目以降：同日可,条件付き,ハイドラを先に実施,初回は同日不可。問題がなかった場合は2回目以降で同日可,不要,20250309_秋田ver,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄,スマサイ・スマートサイドドット・スマートサイドドットレーザー
ケミカルピーリング→スマートサイドドットレーザー（2回目以降）,ケミカルピーリング,スマートサイドドットレーザー（2回目以降）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピーリング・ケミカルピーリング・サリチル酸ピーリング,スマサイ・スマートサイドドット・スマートサイドドットレーザー
スマートサイドドットレーザー（2回目以降）→スマートサイドドットレーザー（2回目以降）,スマートサイドドットレーザー（2回目以降）,スマートサイドドットレーザー（2回目以降）,同部位,8週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,スマサイ・スマートサイドドット・スマートサイドドットレーザー,スマサイ・スマートサイドドット・スマートサイドドットレーザー
スマートサイドドットレーザー（初回）→スマートサイドドットレーザー（2回目以降）,スマートサイドドットレーザー（初回）,スマートサイドドットレーザー（2回目以降）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,スマサイ・スマサイ初回・スマートサイドドット・スマートサイドドットレーザー,スマサイ・スマートサイドドット・スマートサイドドットレーザー
イボレーザー（炭酸ガス／CO2レーザー）→スマートサイドドットレーザー（2回目以降）,イボレーザー（炭酸ガス／CO2レーザー）,スマートサイドドットレーザー（2回目以降）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,CO2・CO2レーザー・炭酸ガスレーザー・イボレーザー・いぼレーザー・イボ取り,スマサイ・スマートサイドドット・スマートサイドドットレーザー
シミ取りレーザー→スマートサイドドットレーザー（2回目以降）,シミ取りレーザー,スマートサイドドットレーザー（2回目以降）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,シミレーザー・シミ取り・シミ取りレーザー・シミ治療,スマサイ・スマートサイドドット・スマートサイドドットレーザー
ADM治療（ピコレーザー）→スマートサイドドットレーザー（2回目以降）,ADM治療（ピコレーザー）,スマートサイドドットレーザー（2回目以降）,同部位,治療完了後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ADM・ADMレーザー・ピコレーザー・ピコ・あざ治療・太田母斑,スマサイ・スマートサイドドット・スマートサイドドットレーザー
ADM治療（ナノレーザー・メドライトC6）→スマートサイドドットレーザー（2回目以降）,ADM治療（ナノレーザー・メドライトC6）,スマートサイドドットレーザー（2回目以降）,同部位,治療完了後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ADM・ADMレーザー・ナノレーザー・メドライトC6・C6・あざ治療・太田母斑,スマサイ・スマートサイドドット・スマートサイドドットレーザー
レーザートーニング→スマートサイドドットレーザー（2回目以降）,レーザートーニング,スマートサイドドットレーザー（2回目以降）,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ,スマサイ・スマートサイドドット・スマートサイドドットレーザー
ピコトーニング→スマートサイドドットレーザー（2回目以降）,ピコトーニング,スマートサイドドットレーザー（2回目以降）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピコトーニング・ピコ・トーニング・肝斑・くすみ,スマサイ・スマートサイドドット・スマートサイドドットレーザー
ピコフラクショナル（1064nm）→スマートサイドドットレーザー（2回目以降）,ピコフラクショナル（1064nm）,スマートサイドドットレーザー（2回目以降）,同部位,8週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡,スマサイ・スマートサイドドット・スマートサイドドットレーザー
そばかすシャワー（532レーザー）→スマートサイドドットレーザー（2回目以降）,そばかすシャワー（532レーザー）,スマートサイドドットレーザー（2回目以降）,同部位,8週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,そばかすシャワー・そばかす・532・そばかす治療,スマサイ・スマートサイドドット・スマートサイドドットレーザー
そばかすスポット照射→スマートサイドドットレーザー（2回目以降）,そばかすスポット照射,スマートサイドドットレーザー（2回目以降）,同部位,8週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,そばかすスポット・そばかす・スポット照射・シミ・そばかす治療,スマサイ・スマートサイドドット・スマートサイドドットレーザー
フォトフェイシャル（光治療）→スマートサイドドットレーザー（2回目以降）,フォトフェイシャル（光治療）,スマートサイドドットレーザー（2回目以降）,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,フォト・フォトフェイシャル・光治療・IPL・ステラM22,スマサイ・スマートサイドドット・スマートサイドドットレーザー
赤み治療（血管腫レーザー）→スマートサイドドットレーザー（2回目以降）,赤み治療（血管腫レーザー）,スマートサイドドットレーザー（2回目以降）,同部位,治療完了後 2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,赤み治療・血管腫レーザー・赤ら顔・毛細血管拡張,スマサイ・スマートサイドドット・スマートサイドドットレーザー
