bucket,menu,faq_amounts,json_menu_amounts,amounts_not_in_json,sheet,question,answer
C_要確認,(不明),1100,,,faq,駐車券をなくした場合はどうすればよいですか？,"駐車券を紛失した場合、1回につき1,100円の紛失料金がかかります。支払い後に駐車券が見つかった場合は、にぎわい交流館AU1階総合案内に駐車券と領収書を持参すると差額が返金されます。"
C_要確認,(不明),880 3300,,,faq,診察代は別途かかりますか？,"自由診療の場合、初診料3,300円、再診料880円となります。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。"
C_要確認,(不明),1020,,,faq,エキシマライトは保険診療の対象ですか？,"はい。エキシマライト治療は保険適用です。3割負担の場合、1回あたり約1,020円で受けられます（診察料別途）。"
A_価格欠落,粉瘤手術,1500 2000 6000,,2000 6000,faq,粉瘤手術は保険適用になりますか？,"はい。粉瘤手術は保険診療の対象です。露出部で直径2cm未満のものは3割負担で5,000〜6,000円程度、1割負担で2,000円程度です。非露出部では1割負担で1,500円程度となります。"
A_価格欠落,粉瘤手術,6000,,6000,faq,炎症性粉瘤手術は保険適用になりますか？,"炎症性粉瘤の手術は保険診療の対象です。症状や部位により費用は異なりますが、3割負担で5,000〜6,000円程度が目安です。"
B_JSON未登録金額,シミ取りレーザー,3760 18800,5500 10500 11000 16500 21500,3760,faq,シミ取りレーザーの料金はいくらですか？／費用を教えてください。,"フラル式シミレーザー治療は18,800円（5個まで）。1個あたり約3,760円です。料金は範囲や個数によって異なります。詳しくはカウンセリング時にご説明します。"
A_価格欠落,赤ら顔治療,59000 99000 198000,,,faq,赤ら顔治療の料金を教えてください。,"赤ら顔治療（フォト治療）の料金は【全顔10回セット】198,000円、【両ほほ10回セット】99,000円、【片ほほ相当10回セット】59,000円です。初診料は別途となります。"
B_JSON未登録金額,イボレーザー,1300 6500 13000 19500,7000 13500 19800,1300 19500,faq,イボレーザー治療の料金を教えてください。/炭酸ガスレーザーはいくらですか？,"AdeBクリニックのイボレーザー（炭酸ガスレーザー）は、大きさにより料金が異なります。【2mm未満】3個で6,500円、【5mm未満】6,500円、【10mm未満】13,000円、【15mm未満】19,500円です。20mm以上の場合は長径のmmサイズ×1,300円で計算します。目元のイボは2mm未満でも1個あたり6,500円となります。"
B_JSON未登録金額,全身脱毛（女性）,4500 19800 79800 289800,49800 209780,4500 289800,faq,メンズ医療脱毛の料金を教えてください。/男性医療脱毛の料金を教えてください。/男性脱毛の料金を教えてください。,"ヒゲ脱毛4部位（あご・あご下・鼻下・ほほ）は1回19,800円、5回セット79,800円です。全身脱毛（顔・襟足・VIO除く）は5回289,800円（月々4,500円～）です。"
B_JSON未登録金額,スマートサイドドット,890 1245 7480 9790 11770 15950 17490 19580 21890 27390 33000,2200 5850 6240 7350 7480 7800 7840 8100 8640 9790 9800 10500 10800 11200 11770 12750 13600 14000 15400 15750 15950 16800 17000 17490 18600 19580 19840 21000 21750 21890 23200 24800 27225 27390 29000 29040 31200 33000 36300 39200 43200 51750 55200 56000 66000 68000 69000 70400 74850 79840 82350 84000 87840 88000 99200 99800 109800 116000 145200 276000 352000 399200 439200,890 1245,faq,スマートサイドドットレーザーで傷あとの治療はできますか／傷あとの治療料金はいくらですか,"スマートサイドドットレーザーで傷あとの治療が可能です。料金（税込）は顔・体それぞれ以下のとおりです。線状のもの幅5mm未満：2cm未満 顔9,790円/体7,480円、10cm未満 顔17,490円/体11,770円、15cm未満 顔21,890円/体15,950円、20cm未満 顔27,390円/体19,580円、20cm以上 顔1cm×1,245円/体1cm×890円。片腕（前腕全体・リストカット等）体33,000円となります。詳しくはこちらからご確認いただけます → https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk"
B_JSON未登録金額,タトゥー（刺青）除去,500 5500 16500,5500 16500 25000 32000 38000 42000 46000 58000,500,faq,タトゥー（刺青）除去の料金はいくらですか？,"料金は大きさによって異なり、500円玉サイズまでが初回5,500円、通常16,500円です。セット割もあり、5回セットは20％OFF、10回セットは30％OFFです。"
C_要確認,(不明),3300,,,faq,HARG療法は痛いですか？/ハーグ療法は痛いですか？,"HARG療法は注射による治療のため、チクチクとした刺激を感じることがありますが、麻酔が必要ない程度の軽い痛みです。痛みに敏感な方には笑気麻酔（税込3,300円）もご用意しています。"
B_JSON未登録金額,(不明),3300 90200 198000 343200,,90200 343200,faq,HARG療法の費用はいくらですか？/ハーグ療法の費用はいくらですか？,"HARG療法の料金は、1回90,200円、6回セットで343,200円です。6回セットは1回ずつ受けるよりも198,000円お得です。笑気麻酔をご希望の場合は、別途3,300円がかかります。"
C_要確認,(不明),6500 14800 19800 24800 59800 79800,,,faq,メンズヒゲ脱毛の料金を教えてください。,"4パーツ（頬・鼻下・顎・顎下）は1回19,800円、5回セット79,800円です。2パーツ（鼻下・顎）は1回6,500円、5回セット24,800円、2パーツ（頬・顎下）は1回14,800円、5回セット59,800円です。"
A_価格欠落,シミをなくすフラルスキン治療,2800 5800 12500,,,faq,フラルスキン治療に使用する化粧品はどんなものですか？,"FLALUコスメシリーズを併用します。レアセラム（美容液）12,500円、メディオイル（化粧用オイル）5,800円、クレンジング（洗顔料）2,800円を組み合わせ、トレチノインと併用することで最大の効果を発揮します。"
A_価格欠落,シミをなくすフラルスキン治療,2800 5800 11500 12500,,,faq,フラルスキン治療の料金はいくらですか？,"フラルスキン治療で使用する製品の料金（税込）は、トレチノイン11,500円、トレチノインゲル各5,800円、レアセラム2本セット12,500円、メディオイル5,800円、クレンジング2,800円です。自由診療となります。詳しくはこちらからご確認いただけます → https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk"
B_JSON未登録金額,mikoメソッド（首いぼ治療）,450 740 1800 1950 3300 37000,740 1800 37000,450,faq,mikoメソッドの料金はいくらですか？／ミコメゾットの料金を教えてください／首イボの治療の料金はいくらですか？／首イボ取りはいくらかかりますか／首イボ除去の費用を教えてください,"mikoメソッド首イボ治療（2mm未満の首イボ）の料金（税込）は、個数によって異なります。【1〜20個目】1個1,800円、【21〜50個】一律37,000円、【51個目〜】1個740円です。別途初診料3,300円、麻酔クリーム1,950円、薬代450円程度がかかります。詳しくはこちらからご確認いただけます → https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk"
B_JSON未登録金額,ミラドライ,3900,189800 242000,3900,faq,ミラドライの治療に麻酔クリームは使用できますか？,"当院では、痛みに配慮し、麻酔クリームと麻酔注射を併用する方法をご案内しています。麻酔クリームは両ワキで3,900円となります。"
B_JSON未登録金額,MOFU23,7920 8800,26400 52800,7920,faq,MOFU23の価格はいくらですか？,"MOFU23の価格は単品8,800円、定期購入は7,920円です。料金の詳細は料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご覧ください。ご相談やご購入はWEB予約（https://adeb.reserve.ne.jp/sp/）またはLINE予約（https://page.line.me/epg9453r）から可能です。"
C_要確認,(不明),850 25500,,,faq,稗粒腫の料金はいくらですか？／稗粒腫の治療費はいくらですか？／稗粒腫の治療の料金はいくらですか？,"稗粒腫の自費治療の料金（税込）は、取り放題（1〜30個）一律25,500円、31個目以降は1個につき850円となります。詳しくはこちらからご確認いただけます → https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk"
B_JSON未登録金額,イボレーザー,1300,7000 13500 19800,1300,faq,16mm以上のイボの料金はいくらですか／大きなイボの料金を教えてください,"イボレーザー（炭酸ガスレーザー）で16mm以上の大きなイボは、長径のmmサイズ×1,300円で料金を計算します。詳しくはこちらからご確認いただけます → https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk"
C_要確認,(不明),6500,,,faq,目元のイボの料金はいくらですか？,"AdeBクリニックの目元のイボ治療は、2mm未満でも1個あたり6,500円となります。"
B_JSON未登録金額,イボレーザー,110000,7000 13500 19800,110000,faq,イボレーザーの治療総額が一定額を超えると割引はありますか？,"AdeBクリニックのイボレーザー治療で、料金が総額110,000円を超えた場合、以降のイボレーザー治療は30%OFFになります。割引は最初の治療日から半年間有効です。麻酔代・軟膏代・テープ代・診察料などは割引対象外です。"
A_価格欠落,粉瘤手術（保険診療）,1500 2000 6000,,2000 6000,faq,粉瘤手術の料金はいくらですか？,"AdeBクリニックの粉瘤手術（保険診療）は、治療部位と大きさによって費用が異なります。【露出部（顔・首・前腕など）】直径2cm未満：3割負担の場合5,000〜6,000円程度、1割負担の場合2,000円程度。直径2cm以上は当院では治療を行っておりません。【露出部以外（体幹・上腕・大腿など）】直径2cm未満：3割負担の場合5,000〜6,000円程度、1割負担の場合1,500円程度。直径2cm以上は当院では治療を行っておりません。※非露出部は半袖や半ズボンで隠れる部分を指します。※症状によっては処置できない場合があります。"
B_JSON未登録金額,全身脱毛（女性）,3980 4500 6500 7480 14800 16800 19800 24800 52000 59800 79800 219800,49800 209780,4500,faq,男性のレーザー脱毛の料金を教えてください。/男性の脱毛はいくらですか？,"AdeBクリニックのレーザー脱毛（男性）は、部位や回数によって料金が異なります。【パーツ脱毛】SSパーツ1ヵ所3,980円、Sパーツ1ヵ所7,480円、Lパーツ1ヵ所16,800円。【ひげ脱毛4か所（両ほほ・鼻下・あご・あご下）】1回19,800円、5回セット79,800円。【ひげ脱毛2か所（鼻下・あご）】1回6,500円、5回セット24,800円。【ひげ脱毛2か所（両ほほ・あご下）】1回14,800円、5回セット59,800円。【全身脱毛】単発1回52,000円（おひとり様10回まで）、全身脱毛5回パック（顔・襟足・VIO除く）219,800円（医療ローン60回払いの場合は月々4,500円〜）。5回パック終了後は、再度5回パック購入が10%OFFとなります。"
B_JSON未登録金額,MOFU23,1020 2200 3300 8800 90200 349200,26400 52800,90200,faq,薄毛治療の料金を教えてください。,"AdeBクリニックの薄毛治療は、施術内容によって料金が異なります。【HARG療法】1回90,200円、6回セット349,200円。笑気麻酔をご希望の場合は別途3,300円が必要です。【エキシマライト（保険診療）】3割負担の方で約1,020円（別途保険診察料あり）。【スカルプ育毛エッセンス「MOFU23」PREMIUM】8,800円。【育毛促進注射】1回3,300円（頭皮LED治療と同日なら1回2,200円）。※スカルプエッセンス療法は、HARG療法を1度でも受けた方が対象です。"
B_JSON未登録金額,(不明),1800 4800 10600 12960 13600 36720 100800 103800 220860,,10600 12960 36720 100800 103800 220860,faq,メンズ薄毛治療プランの料金を教えてください。,"AdeBクリニックのメンズ薄毛治療プランは、目的に合わせて3つのプランをご用意しています。【① お家で薄毛予防プラン（内服）】初回1,800円、通常4,800円、3ヶ月まとめ買い12,960円（10%OFF）。【② お家で発毛プラン（内服＋育毛エッセンス）】初回10,600円、通常13,600円、3ヶ月まとめ買い36,720円（10%OFF）。【③ 発毛促進プラン（HARG療法1回＋内服＋育毛エッセンス）】初回100,800円、通常103,800円、3ヶ月まとめ買い220,860円（10%OFF）。"
B_JSON未登録金額,(不明),6200 9200 15000 18000 24840 48600 105200 108200 232740,,6200 9200 15000 18000 24840 48600 105200 108200 232740,faq,レディース薄毛治療プランの料金を教えてください。,"AdeBクリニックのレディース薄毛治療プランは、目的に合わせて3つのプランがあります。【① お家で薄毛予防プラン（内服）】初回6,200円、通常9,200円、3ヶ月まとめ買い24,840円（10%OFF）。【② お家で発毛プラン（内服＋育毛エッセンス）】初回15,000円、通常18,000円、3ヶ月まとめ買い48,600円（10%OFF）。【③ 発毛促進プラン（HARG療法1回＋内服＋育毛エッセンス）】初回105,200円、通常108,200円、3ヶ月まとめ買い232,740円（10%OFF）。"
C_要確認,(不明),4400 8800 12000,,,faq,内服薬やサプリメントの料金を教えてください。,"AdeBクリニックの内服薬・サプリメント（自費）は、以下の料金でご案内しております。【グルタチオン100mg】90錠4,400円、180錠8,800円。【JMBポーサインPRO（プラセンタサプリ）】1箱12,000円です。"
C_要確認,(不明),33000 55000,,,faq,フェイシャルケアの初回限定チケットの料金を教えてください。,"AdeBクリニックのフェイシャルケアでは、お試し後にご利用いただける初回限定チケットをご用意しています。【シルバープラン】フェイシャル全2回で33,000円。【ゴールドプラン】フェイシャル全4回で55,000円。※初回限定メニューはお一人様1回限りとなります。"
C_要確認,(不明),2800,,,faq,FLALUクレンジングの料金はいくらですか？,"AdeBクリニックのFLALUクレンジングは2,800円です。"
C_要確認,(不明),5800,,,faq,FLALUメディオイルの料金はいくらですか？,"AdeBクリニックのFLALUメディオイルは5,800円です。"
C_要確認,(不明),10780,,,faq,FLALUオールインワンジェルの料金はいくらですか？,"AdeBクリニックのFLALUオールインワンジェルは10,780円です。"
C_要確認,(不明),10890,,,faq,ラシャスリップスの料金はいくらですか？,"AdeBクリニックのラシャスリップス（医療機関専売リップグロス）は、1本10,890円です。"
C_要確認,(不明),1200,,,faq,麻酔注射はいくらですか？,"麻酔注射の料金は1回1,200円です。"
C_要確認,(不明),900 1500 1950,,,faq,麻酔クリームはいくらですか？,"麻酔クリームの料金は、顔1/4以下が900円、顔半分以下が1,500円、顔全体が1,950円です。"
C_要確認,(不明),3300,,,faq,笑気麻酔の料金はいくらですか？,"笑気麻酔の料金は3,300円です。"
C_要確認,(不明),3300,,,faq,目元用コンタクトレンズと点眼の料金はいくらですか？,"目元用コンタクトレンズとベノキシール点眼の料金は、1回3,300円です。"
C_要確認,(不明),3980,,,faq,SSパーツの脱毛はいくらですか？,"SSパーツの医療脱毛は、1ヵ所1回3,980円です。SSパーツには、鼻下・あご・へそ周り・乳輪周りなどが含まれます。"
C_要確認,(不明),7480,,,faq,Sパーツの脱毛はいくらですか？,"Sパーツの医療脱毛は、1ヵ所1回7,480円です。両脇、両ほほ、あご下、ビキニラインなどがSパーツに該当します。"
C_要確認,(不明),14800 16800,,,faq,Lパーツの脱毛はいくらですか？,"Lパーツの医療脱毛は、1ヵ所1回14,800円（女性）、16,800円（男性）です。胸・お腹・背中・太ももなどの広範囲が対象です。"
C_要確認,(不明),7480,,,faq,ワキ脱毛はいくらですか？/ワキ脱毛はいくらですか？/脇脱毛はいくらですか？/脇脱毛の料金,"両脇の医療脱毛は、Sパーツに該当し、1回7,480円です。男女ともに同一料金です。"
C_要確認,(不明),7480 14800,,,faq,VIO脱毛はいくらですか？,"VIO脱毛は女性のみ対応しています。VラインはLパーツ1回14,800円、Iライン・OラインはSパーツ1回7,480円です。男性のVIO脱毛は行っていません。"
C_要確認,(不明),6500 19800 24800 79800,,,faq,ヒゲ脱毛はいくらですか？,"男性のヒゲ脱毛は、4ヶ所1回19,800円、5回セット79,800円です。鼻下・顎のみの場合は、1回6,500円、5回セット24,800円です。"
B_JSON未登録金額,全身脱毛（女性）,209780 289800,49800 209780,289800,faq,全身脱毛はいくらですか？,"全身脱毛5回パックは、女性209,780円、男性289,800円です。いずれも顔・襟足・VIOは含まれていません。"
C_要確認,(不明),900 1950 3300,,,faq,脱毛料金以外にかかる費用はありますか？,"脱毛料金とは別に、麻酔代や軟膏代がかかる場合があります。麻酔クリームは900円〜1,950円、笑気麻酔は3,300円です。"
C_要確認,(不明),2200,,,faq,血管腫が大きい場合の料金はどうなりますか？,"直径15mm以上の場合は、1ショット追加ごとに2,200円が加算されます。"
C_要確認,(不明),1100 3300,,,faq,脱毛施術のキャンセル料はいくらですか？,"当日の変更・キャンセルの場合、1部位につき1,100円（最大3,300円）のキャンセル料が発生します。当日の時間変更もキャンセルポリシーの対象となります。体調不良や月経等の場合も対象となります。"
B_JSON未登録金額,イボレーザー,1300 7000 13500 19800,7000 13500 19800,1300,faq,脂腺増殖症は治療できますか？,"イボレーザー（炭酸ガスレーザー）を用いての治療が可能です。料金（税込）は、直径2mm未満3個まで7,000円、直径5mm未満1個7,000円、直径10mm未満1個13,500円、直径15mm未満1個19,800円となります。16mm以上は長径mm×1,300円です。目元のイボは2mm未満でも1個あたり7,000円となります。詳しくはこちらからご確認いただけます → https://www.adeb.com/service/co2laser/?utm_source=ai&utm_medium=sugudesk"
C_要確認,(不明),880 3300,,,faq,"シミ診断の費用はいくらですか？（初診料, 再診料, カウンセリング料）","シミの診断のみをご希望の場合、当院での自費治療が初めての方は初診料3,300円、当院で自費治療のご経験がある方は再診料880円となります。"
B_JSON未登録金額,シミ取りレーザー,1200 2000,5500 10500 11000 16500 21500,2000,faq,"シミ取りレーザーの際、軟膏や麻酔、薬代などの目安を教えてください。（追加費用, 処方箋, 薬局）","麻酔代は1,200円（自費）です。軟膏や内服薬は保険処方となるため、負担割合や受診条件により異なりますが、3割負担の方でおよそ1,000～2,000円程度が目安です。別途、調剤薬局でのお薬代が発生します。お薬代は調剤薬局へお問い合わせください。"
B_JSON未登録金額,全身脱毛（女性）,2750 5500,49800 209780,2750,faq,"シェービングサービスはありますか？（前処理, 剃毛, 自己処理）","前処理は有料オプションとなります。ご自身で対応が難しい背中（上・下）は各2,750円、全身脱毛の場合は5,500円となります。"
B_JSON未登録金額,(不明),110,,110,faq,"診察券をなくした場合はどうすればよいですか？（紛失, 再発行費用）",初回は無料で再発行いたします。2回目以降は再発行手数料110円をいただきます。
A_価格欠落,赤ら顔治療,198000,,,faq,赤ら顔治療の料金はいくらですか？,"赤ら顔治療の一例として、フォト治療による赤ら顔10回セット（全顔）は198,000円です。"
C_要確認,(不明),880 3300,,,faq,AdeBクリニックの施術は費用がかかりますか／お金はかかりますか／無料で受けられますか,"AdeBクリニックの施術は、保険診療と自由診療があります。自由診療の初診料は3,300円、再診料は880円となります。各施術の料金は料金ページにてご確認いただけます。詳しくはこちらからご確認いただけます → https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk
またAdeBクリニックでは、患者様のお悩みに応じて美容カウンセリングスタッフが治療内容についてご説明する美容相談も行っています。気になっている治療があるけれど不安な方や自分に合う治療がわからない方などのお悩みをお伺いし、当院の治療方針や施術内容についてご案内します。※無料美容相談はスタッフによるもので、医師の診察・治療は含まれません。医師による診察や治療は後日となります。美容相談の予約はWEB予約サイト、LINE、またはお電話（050-8882-5800）で承っています。 ・ WEB予約 こちらからご予約ください （（https://www.adeb.com/yoyaku/?utm_source=ai&utm_medium=sugudesk） ・ LINE予約 こちらからご予約ください （（https://page.line.me/epg9453r）） ・お電話 📞 050-8882-5800 ※電話受付時間：月～水・金～日曜日／9:00～13:00、14:00～17:45（木曜日休診）"
B_JSON未登録金額,イボレーザー,880 1300 3300 6500 13000 19500,7000 13500 19800,1300 19500,faq,体のイボ取り料金はいくらですか／背中のイボ1つを取りたい場合の料金は,"イボレーザー（炭酸ガスレーザー）の料金（税込）は、直径2mm未満3個まで6,500円、直径5mm未満1個6,500円、直径10mm未満1個13,000円、直径15mm未満1個19,500円となります。20mm以上は長径mm×1,300円です。別途初診料3,300円・再診料880円および麻酔代がかかります。当院では、首のイボだけでなく、顔や体などさまざまな部位のイボ治療を行っていますが、イボの大きさや種類、できている場所によって、適した治療方法が異なる場合があります。お悩みやご希望を伺いながら治療内容をご説明する美容相談も当院では無料で行っておりますので、まずはお気軽にご相談ください。※無料美容相談はスタッフによるもので、医師の診察・治療は含まれません。医師による診察や治療は後日となります。"
