No,区分,診療科・外来・センター名,HP上の予約に関する記載（現時点で判明分）,診療日時（判明分）,受付場所（判明分）,【要確認】初診の予約要否,【要確認】再診の予約要否,【要確認】予約先（予約センター／地域連携室／WEB／各科窓口）,【要確認】備考（対象条件・紹介状要否など）
39,その他診療科,放射線診断科,各診療科の依頼に基づく／地域紹介検査あり,,,,,,PET-CT等は地域連携室
40,その他診療科,放射線治療科,院内外の主治医からの紹介が起点,,,,,,
41,その他診療科,麻酔科・集中治療科,手術麻酔・ICU中心(外来内容は要確認),,A棟2階(受付G),,,,外来で何を診るか要確認
42,その他診療科,総合救急部 救急科,夜間・休日外来は事前予約不要(直接来院),24時間対応,A棟1階,予約不要(救急),予約不要(救急),,救急は予約対象外
43,その他診療科,リハビリテーション科,外来リハ・心臓リハは担当科の医師と連携,,B棟3階,,,,対象:当院で手術・治療を受けた方等
44,センター,内視鏡センター,内視鏡検査は「午前予約制」の注記あり,,A棟2階,,,,経鼻内視鏡・大腸内視鏡・EUS等
45,センター,肝胆膵センター,記載なし(要確認),,,,,,肝臓内科・膵臓胆道疾患外来と関連
46,専門外来,IBD外来(消化器内科),午後予約制,月・木 14:00-15:30,,,,,
47,専門外来,膵臓・胆道疾患外来(消化器内科),午後予約制,火・金 14:00-15:30,,,,,
48,センター,糖尿病センター,記載なし(要確認),,,,,,内分泌・糖尿病内科と関連
49,センター,肥満症センター,肥満症治療外来は午前「当日のみ」,,,,,,
50,センター,脳卒中センター,記載なし(要確認),,,,,,SCUあり
51,センター,メディカルサポートセンター(人間ドック・検診),事前予約制,午後診療あり(予約制),,,,,人間ドック・ABC健診等
52,中央診療部,薬剤科,患者予約なし(該当なし),,,―,―,―,受診外来ではない
53,中央診療部,臨床検査科,各診療科の指示で実施(患者直接予約なし),,,―,―,―,睡眠時無呼吸検査は入院／女性技師希望は受付申出
54,中央診療部,放射線科,各診療科の依頼で実施(患者直接予約なし),,,―,―,―,マンモグラフィ等
55,中央診療部,医療機器管理室,患者予約なし(該当なし),,,―,―,―,ペースメーカーチェックは不整脈科外来
56,中央診療部,栄養科,栄養相談の予約方法は要確認,,,,,,外来栄養相談の受付窓口
57,その他診療科,病理診断科,患者受診なし(該当なし),,,―,―,―,
